time_s,freq_dev_hz,variant,variant_label
319.0,-0.0003047551900237089,bf_only,AGC redistribution only (bf=second)
320.0,-0.0015009335547300218,bf_only,AGC redistribution only (bf=second)
321.0,-0.0006152006037862812,bf_only,AGC redistribution only (bf=second)
322.0,5.0732869145697634e-05,bf_only,AGC redistribution only (bf=second)
323.0,-0.006053489642774412,bf_only,AGC redistribution only (bf=second)
324.0,0.0050708345645134045,bf_only,AGC redistribution only (bf=second)
325.0,0.006071563786669287,bf_only,AGC redistribution only (bf=second)
326.0,0.007220485415664335,bf_only,AGC redistribution only (bf=second)
327.0,0.01348341095614991,bf_only,AGC redistribution only (bf=second)
328.0,0.004480679065057558,bf_only,AGC redistribution only (bf=second)
329.0,0.0029734297349381933,bf_only,AGC redistribution only (bf=second)
330.0,0.011202925185820334,bf_only,AGC redistribution only (bf=second)
331.0,0.009951524500064757,bf_only,AGC redistribution only (bf=second)
332.0,0.008479963674616897,bf_only,AGC redistribution only (bf=second)
333.0,-0.011011587528195754,bf_only,AGC redistribution only (bf=second)
334.0,-0.004844328709820989,bf_only,AGC redistribution only (bf=second)
335.0,-0.007524336202995308,bf_only,AGC redistribution only (bf=second)
336.0,0.011834350667667692,bf_only,AGC redistribution only (bf=second)
337.0,0.005531066900767989,bf_only,AGC redistribution only (bf=second)
338.0,-0.007036417824728414,bf_only,AGC redistribution only (bf=second)
339.0,0.0015029867594895663,bf_only,AGC redistribution only (bf=second)
340.0,-0.005211463591296983,bf_only,AGC redistribution only (bf=second)
341.0,-0.002810795058205695,bf_only,AGC redistribution only (bf=second)
342.0,0.013865091009379604,bf_only,AGC redistribution only (bf=second)
343.0,0.008891471739840284,bf_only,AGC redistribution only (bf=second)
344.0,0.0036978345285554326,bf_only,AGC redistribution only (bf=second)
345.0,0.007505856017120394,bf_only,AGC redistribution only (bf=second)
346.0,0.01441207844187442,bf_only,AGC redistribution only (bf=second)
347.0,0.0024169374260241128,bf_only,AGC redistribution only (bf=second)
348.0,0.004410171843476363,bf_only,AGC redistribution only (bf=second)
349.0,-0.01133331288595718,bf_only,AGC redistribution only (bf=second)
350.0,0.0027145737646394608,bf_only,AGC redistribution only (bf=second)
351.0,0.01927068468585702,bf_only,AGC redistribution only (bf=second)
352.0,0.01379825093237308,bf_only,AGC redistribution only (bf=second)
353.0,0.007483386723867724,bf_only,AGC redistribution only (bf=second)
354.0,-0.0139665386221699,bf_only,AGC redistribution only (bf=second)
355.0,0.005558434839190163,bf_only,AGC redistribution only (bf=second)
356.0,0.007140719699032516,bf_only,AGC redistribution only (bf=second)
357.0,0.012175349850291894,bf_only,AGC redistribution only (bf=second)
358.0,-0.0019198777230533537,bf_only,AGC redistribution only (bf=second)
359.0,0.00552338097541849,bf_only,AGC redistribution only (bf=second)
360.0,0.009796813450106967,bf_only,AGC redistribution only (bf=second)
361.0,0.009164391693610163,bf_only,AGC redistribution only (bf=second)
362.0,0.008161472100995937,bf_only,AGC redistribution only (bf=second)
363.0,0.0060849684558705874,bf_only,AGC redistribution only (bf=second)
364.0,0.007924850639597913,bf_only,AGC redistribution only (bf=second)
365.0,0.00084693682719017,bf_only,AGC redistribution only (bf=second)
366.0,0.003653742740654664,bf_only,AGC redistribution only (bf=second)
367.0,0.007493206600512892,bf_only,AGC redistribution only (bf=second)
368.0,0.008675487325939812,bf_only,AGC redistribution only (bf=second)
369.0,0.0044797517213623905,bf_only,AGC redistribution only (bf=second)
370.0,0.009311200929791319,bf_only,AGC redistribution only (bf=second)
371.0,-0.0056812317455468,bf_only,AGC redistribution only (bf=second)
372.0,-0.006221107376980228,bf_only,AGC redistribution only (bf=second)
373.0,-0.004046431045647836,bf_only,AGC redistribution only (bf=second)
374.0,0.00930673226328782,bf_only,AGC redistribution only (bf=second)
375.0,0.025474206461995053,bf_only,AGC redistribution only (bf=second)
376.0,0.006465133011452906,bf_only,AGC redistribution only (bf=second)
377.0,0.009163561014284838,bf_only,AGC redistribution only (bf=second)
378.0,0.018903312806539674,bf_only,AGC redistribution only (bf=second)
379.0,0.004490200239306574,bf_only,AGC redistribution only (bf=second)
380.0,-0.011390237532580283,bf_only,AGC redistribution only (bf=second)
381.0,-0.0055850323659112355,bf_only,AGC redistribution only (bf=second)
382.0,-0.0007514115117723819,bf_only,AGC redistribution only (bf=second)
383.0,0.007015401319239167,bf_only,AGC redistribution only (bf=second)
384.0,0.01396038505925734,bf_only,AGC redistribution only (bf=second)
385.0,0.009676898886055163,bf_only,AGC redistribution only (bf=second)
386.0,0.003403480208210574,bf_only,AGC redistribution only (bf=second)
387.0,0.0042904876676530534,bf_only,AGC redistribution only (bf=second)
388.0,-0.004936377113800017,bf_only,AGC redistribution only (bf=second)
389.0,-0.0009811299197215462,bf_only,AGC redistribution only (bf=second)
390.0,0.026827845233148295,bf_only,AGC redistribution only (bf=second)
391.0,0.00918149455832129,bf_only,AGC redistribution only (bf=second)
392.0,0.002700137263458302,bf_only,AGC redistribution only (bf=second)
393.0,-0.000991191637633726,bf_only,AGC redistribution only (bf=second)
394.0,0.0131123836660052,bf_only,AGC redistribution only (bf=second)
395.0,0.01840236871246681,bf_only,AGC redistribution only (bf=second)
396.0,0.0044485854122156,bf_only,AGC redistribution only (bf=second)
397.0,0.002551750469139691,bf_only,AGC redistribution only (bf=second)
398.0,0.0038580206985505683,bf_only,AGC redistribution only (bf=second)
399.0,0.006131628949432866,bf_only,AGC redistribution only (bf=second)
400.0,-0.0039546516476529625,bf_only,AGC redistribution only (bf=second)
401.0,-0.0055396001304575115,bf_only,AGC redistribution only (bf=second)
402.0,0.0009244160237420473,bf_only,AGC redistribution only (bf=second)
403.0,0.007404647146169729,bf_only,AGC redistribution only (bf=second)
404.0,0.007001891969533602,bf_only,AGC redistribution only (bf=second)
405.0,0.004643815639240323,bf_only,AGC redistribution only (bf=second)
406.0,0.012297570961337101,bf_only,AGC redistribution only (bf=second)
407.0,0.008241702445617172,bf_only,AGC redistribution only (bf=second)
408.0,-0.004832877068825514,bf_only,AGC redistribution only (bf=second)
409.0,0.011897764613562067,bf_only,AGC redistribution only (bf=second)
410.0,0.013938783688765,bf_only,AGC redistribution only (bf=second)
411.0,0.015311752520004163,bf_only,AGC redistribution only (bf=second)
412.0,0.020337998875952223,bf_only,AGC redistribution only (bf=second)
413.0,0.008288317751099505,bf_only,AGC redistribution only (bf=second)
414.0,-0.00039815247783403507,bf_only,AGC redistribution only (bf=second)
415.0,0.0039828316989254375,bf_only,AGC redistribution only (bf=second)
416.0,0.006878148421698427,bf_only,AGC redistribution only (bf=second)
417.0,-0.003083926239750845,bf_only,AGC redistribution only (bf=second)
418.0,0.004062375245421634,bf_only,AGC redistribution only (bf=second)
419.0,0.006237143900036379,bf_only,AGC redistribution only (bf=second)
420.0,0.0009610544636506901,bf_only,AGC redistribution only (bf=second)
421.0,0.00414907370873685,bf_only,AGC redistribution only (bf=second)
422.0,-0.001912459237347619,bf_only,AGC redistribution only (bf=second)
423.0,0.01184890007208228,bf_only,AGC redistribution only (bf=second)
424.0,0.0020866290847854074,bf_only,AGC redistribution only (bf=second)
425.0,0.012212567642939653,bf_only,AGC redistribution only (bf=second)
426.0,0.010963036753741662,bf_only,AGC redistribution only (bf=second)
427.0,0.014277341704080904,bf_only,AGC redistribution only (bf=second)
428.0,0.005338542346415842,bf_only,AGC redistribution only (bf=second)
429.0,0.012716171314384184,bf_only,AGC redistribution only (bf=second)
430.0,0.011135896449099292,bf_only,AGC redistribution only (bf=second)
431.0,0.009161322832698104,bf_only,AGC redistribution only (bf=second)
432.0,0.0024271107409745696,bf_only,AGC redistribution only (bf=second)
433.0,0.010716704438302749,bf_only,AGC redistribution only (bf=second)
434.0,-0.004906223229890205,bf_only,AGC redistribution only (bf=second)
435.0,0.0122143647361872,bf_only,AGC redistribution only (bf=second)
436.0,0.022561427181142513,bf_only,AGC redistribution only (bf=second)
437.0,0.004207534693456694,bf_only,AGC redistribution only (bf=second)
438.0,0.006967352257283288,bf_only,AGC redistribution only (bf=second)
439.0,0.013997900292976873,bf_only,AGC redistribution only (bf=second)
440.0,0.004980742736129251,bf_only,AGC redistribution only (bf=second)
441.0,0.012257163725846176,bf_only,AGC redistribution only (bf=second)
442.0,0.00884495008387276,bf_only,AGC redistribution only (bf=second)
443.0,-0.0002000784482758533,bf_only,AGC redistribution only (bf=second)
444.0,-0.006280629403667692,bf_only,AGC redistribution only (bf=second)
445.0,0.0015677231018429438,bf_only,AGC redistribution only (bf=second)
446.0,0.004077811324196823,bf_only,AGC redistribution only (bf=second)
447.0,0.022497303144888292,bf_only,AGC redistribution only (bf=second)
448.0,0.021419252844072645,bf_only,AGC redistribution only (bf=second)
449.0,0.00817083272523167,bf_only,AGC redistribution only (bf=second)
450.0,0.004566879181795436,bf_only,AGC redistribution only (bf=second)
451.0,0.013664140349587406,bf_only,AGC redistribution only (bf=second)
452.0,0.022346063825513518,bf_only,AGC redistribution only (bf=second)
453.0,0.02151071492161094,bf_only,AGC redistribution only (bf=second)
454.0,0.006324902543002331,bf_only,AGC redistribution only (bf=second)
455.0,0.00297200844828982,bf_only,AGC redistribution only (bf=second)
456.0,-0.0003122803715216449,bf_only,AGC redistribution only (bf=second)
457.0,0.012402296333178242,bf_only,AGC redistribution only (bf=second)
458.0,0.01622395260459264,bf_only,AGC redistribution only (bf=second)
459.0,0.01628474585392059,bf_only,AGC redistribution only (bf=second)
460.0,0.006260057109672701,bf_only,AGC redistribution only (bf=second)
461.0,0.004871489462661138,bf_only,AGC redistribution only (bf=second)
462.0,0.006277192707013768,bf_only,AGC redistribution only (bf=second)
463.0,0.016889996703199905,bf_only,AGC redistribution only (bf=second)
464.0,0.01182945195495222,bf_only,AGC redistribution only (bf=second)
465.0,0.010350642140322108,bf_only,AGC redistribution only (bf=second)
466.0,-0.00015377842117691998,bf_only,AGC redistribution only (bf=second)
467.0,0.005472448194359103,bf_only,AGC redistribution only (bf=second)
468.0,0.0031024139920932114,bf_only,AGC redistribution only (bf=second)
469.0,0.02075721140450959,bf_only,AGC redistribution only (bf=second)
470.0,0.014301118245989564,bf_only,AGC redistribution only (bf=second)
471.0,0.009591813242910696,bf_only,AGC redistribution only (bf=second)
472.0,0.006223347996003881,bf_only,AGC redistribution only (bf=second)
473.0,0.01303342311362865,bf_only,AGC redistribution only (bf=second)
474.0,-0.00024532729363979655,bf_only,AGC redistribution only (bf=second)
475.0,0.010052367829884723,bf_only,AGC redistribution only (bf=second)
476.0,0.022290682210646118,bf_only,AGC redistribution only (bf=second)
477.0,0.020642948057778554,bf_only,AGC redistribution only (bf=second)
478.0,0.01643295982849402,bf_only,AGC redistribution only (bf=second)
479.0,-0.002456288195107348,bf_only,AGC redistribution only (bf=second)
480.0,0.001985223929099611,bf_only,AGC redistribution only (bf=second)
481.0,0.011823629751273046,bf_only,AGC redistribution only (bf=second)
482.0,0.015600808224349727,bf_only,AGC redistribution only (bf=second)
483.0,0.010896372782212005,bf_only,AGC redistribution only (bf=second)
484.0,0.0066856583311381,bf_only,AGC redistribution only (bf=second)
485.0,0.030141682390403268,bf_only,AGC redistribution only (bf=second)
486.0,0.015058647942374215,bf_only,AGC redistribution only (bf=second)
487.0,0.012547111102407804,bf_only,AGC redistribution only (bf=second)
488.0,0.026362483085531352,bf_only,AGC redistribution only (bf=second)
489.0,0.016143244965673986,bf_only,AGC redistribution only (bf=second)
490.0,-0.0020022872999625463,bf_only,AGC redistribution only (bf=second)
491.0,-0.0014358047006401975,bf_only,AGC redistribution only (bf=second)
492.0,0.00491681541514577,bf_only,AGC redistribution only (bf=second)
493.0,0.0008517484860215419,bf_only,AGC redistribution only (bf=second)
494.0,0.021184348960900934,bf_only,AGC redistribution only (bf=second)
495.0,0.04000943777016097,bf_only,AGC redistribution only (bf=second)
496.0,0.017559889548981467,bf_only,AGC redistribution only (bf=second)
497.0,0.010646403667791127,bf_only,AGC redistribution only (bf=second)
498.0,0.017150263541854116,bf_only,AGC redistribution only (bf=second)
499.0,0.019290100533426724,bf_only,AGC redistribution only (bf=second)
500.0,0.010324335150722064,bf_only,AGC redistribution only (bf=second)
501.0,0.015191320099914307,bf_only,AGC redistribution only (bf=second)
502.0,0.02309500084131777,bf_only,AGC redistribution only (bf=second)
503.0,0.01590334646491609,bf_only,AGC redistribution only (bf=second)
504.0,0.012316217121459694,bf_only,AGC redistribution only (bf=second)
505.0,0.030860153680385416,bf_only,AGC redistribution only (bf=second)
506.0,0.02393146928849177,bf_only,AGC redistribution only (bf=second)
507.0,0.023371839946824124,bf_only,AGC redistribution only (bf=second)
508.0,0.012050889904315909,bf_only,AGC redistribution only (bf=second)
509.0,0.023374370245541343,bf_only,AGC redistribution only (bf=second)
510.0,0.012789377722399742,bf_only,AGC redistribution only (bf=second)
511.0,0.015127505284922016,bf_only,AGC redistribution only (bf=second)
512.0,0.013701311196601118,bf_only,AGC redistribution only (bf=second)
513.0,0.010510680223601021,bf_only,AGC redistribution only (bf=second)
514.0,0.02456565897231311,bf_only,AGC redistribution only (bf=second)
515.0,0.017097361133027178,bf_only,AGC redistribution only (bf=second)
516.0,0.017184742976921186,bf_only,AGC redistribution only (bf=second)
517.0,0.01800764517910114,bf_only,AGC redistribution only (bf=second)
518.0,0.01090147609664971,bf_only,AGC redistribution only (bf=second)
519.0,0.023242393276174944,bf_only,AGC redistribution only (bf=second)
520.0,0.024467198141904234,bf_only,AGC redistribution only (bf=second)
521.0,0.01755178754057063,bf_only,AGC redistribution only (bf=second)
522.0,0.014444033715341753,bf_only,AGC redistribution only (bf=second)
523.0,0.0113424219130831,bf_only,AGC redistribution only (bf=second)
524.0,0.015718770568762253,bf_only,AGC redistribution only (bf=second)
525.0,0.016363104475418666,bf_only,AGC redistribution only (bf=second)
526.0,0.016524484840423348,bf_only,AGC redistribution only (bf=second)
